@r1.2|NC_014152.1-2076,NC_014152.1
@r2.2|NC_014152.1-7149,NC_014152.1
@r3.2|NC_014152.1-3109,NC_014152.1
@r4.2|NC_014152.1-8338,NC_014152.1
@r5.2|NC_014152.1-2293,NC_014152.1
@r6.2|NC_014152.1-6808,NC_014152.1
@r7.2|NC_014152.1-11171,NC_014152.1
@r8.2|NC_014152.1-9779,NC_014152.1
@r9.2|NC_014152.1-9020,NC_014152.1
@r10.2|NC_014152.1-9954,NC_014152.1
@r11.2|NC_014152.1-3500,NC_014152.1
@r12.2|NC_014152.1-9851,NC_014152.1
@r13.2|NC_014152.1-776,NC_014152.1
@r14.2|NC_014152.1-10916,NC_014152.1
@r15.2|NC_014152.1-8013,NC_014152.1
@r16.2|NC_014152.1-6333,NC_014152.1
@r17.2|NC_014152.1-11150,NC_014152.1
@r18.2|NC_014152.1-11202,NC_014152.1
@r19.2|NC_014152.1-384,NC_014152.1
@r20.2|NC_014152.1-3635,NC_014152.1
@r21.2|NC_014152.1-2497,NC_014152.1
@r22.2|NC_014152.1-1391,NC_014152.1
@r23.2|NC_014152.1-9826,NC_014152.1
@r24.2|NC_014152.1-5183,NC_014152.1
@r25.2|NC_014152.1-7630,NC_014152.1
@r26.2|NC_014152.1-2930,NC_014152.1
@r27.2|NC_014152.1-5043,NC_014152.1
@r28.2|NC_014152.1-6997,NC_014152.1
@r29.2|NC_014152.1-4858,NC_014152.1
@r30.2|NC_014152.1-2128,NC_014152.1
@r31.2|NC_014152.1-4287,NC_014152.1
@r32.2|NC_014152.1-7846,NC_014152.1
@r33.2|NC_014152.1-2633,NC_014152.1
@r34.2|NC_014152.1-7800,NC_014152.1
@r35.2|NC_014152.1-4670,NC_014152.1
@r36.2|NC_014152.1-1114,NC_014152.1
@r37.2|NC_014152.1-1443,NC_014152.1
@r38.2|NC_014152.1-6274,NC_014152.1
@r39.2|NC_014152.1-1051,NC_014152.1
@r40.2|NC_014152.1-11295,NC_014152.1
@r41.2|NC_014152.1-6076,NC_014152.1
@r42.2|NC_014152.1-10275,NC_014152.1
@r43.2|NC_014152.1-7838,NC_014152.1
@r44.2|NC_014152.1-4730,NC_014152.1
@r45.2|NC_014152.1-4817,NC_014152.1
@r46.2|NC_014152.1-6327,NC_014152.1
