@r1.1|NC_014152.1-2076,NC_014152.1
@r2.1|NC_014152.1-7149,NC_014152.1
@r3.1|NC_014152.1-3109,NC_014152.1
@r4.1|NC_014152.1-8338,NC_014152.1
@r5.1|NC_014152.1-2293,NC_014152.1
@r6.1|NC_014152.1-6808,NC_014152.1
@r7.1|NC_014152.1-11171,NC_014152.1
@r8.1|NC_014152.1-9779,NC_014152.1
@r9.1|NC_014152.1-9020,NC_014152.1
@r10.1|NC_014152.1-9954,NC_014152.1
@r11.1|NC_014152.1-3500,NC_014152.1
@r12.1|NC_014152.1-9851,NC_014152.1
@r13.1|NC_014152.1-776,NC_014152.1
@r14.1|NC_014152.1-10916,NC_014152.1
@r15.1|NC_014152.1-8013,NC_014152.1
@r16.1|NC_014152.1-6333,NC_014152.1
@r17.1|NC_014152.1-11150,NC_014152.1
@r18.1|NC_014152.1-11202,NC_014152.1
@r19.1|NC_014152.1-384,NC_014152.1
@r20.1|NC_014152.1-3635,NC_014152.1
@r21.1|NC_014152.1-2497,NC_014152.1
@r22.1|NC_014152.1-1391,NC_014152.1
@r23.1|NC_014152.1-9826,NC_014152.1
@r24.1|NC_014152.1-5183,NC_014152.1
@r25.1|NC_014152.1-7630,NC_014152.1
@r26.1|NC_014152.1-2930,NC_014152.1
@r27.1|NC_014152.1-5043,NC_014152.1
@r28.1|NC_014152.1-6997,NC_014152.1
@r29.1|NC_014152.1-4858,NC_014152.1
@r30.1|NC_014152.1-2128,NC_014152.1
@r31.1|NC_014152.1-4287,NC_014152.1
@r32.1|NC_014152.1-7846,NC_014152.1
@r33.1|NC_014152.1-2633,NC_014152.1
@r34.1|NC_014152.1-7800,NC_014152.1
@r35.1|NC_014152.1-4670,NC_014152.1
@r36.1|NC_014152.1-1114,NC_014152.1
@r37.1|NC_014152.1-1443,NC_014152.1
@r38.1|NC_014152.1-6274,NC_014152.1
@r39.1|NC_014152.1-1051,NC_014152.1
@r40.1|NC_014152.1-11295,NC_014152.1
@r41.1|NC_014152.1-6076,NC_014152.1
@r42.1|NC_014152.1-10275,NC_014152.1
@r43.1|NC_014152.1-7838,NC_014152.1
@r44.1|NC_014152.1-4730,NC_014152.1
@r45.1|NC_014152.1-4817,NC_014152.1
@r46.1|NC_014152.1-6327,NC_014152.1
@r47.1|NC_014152.1-6610,NC_014152.1
@r48.1|NC_014152.1-4394,NC_014152.1
@r49.1|NC_014152.1-1996,NC_014152.1
@r50.1|NC_014152.1-8591,NC_014152.1
@r51.1|NC_014152.1-4588,NC_014152.1
@r52.1|NC_014152.1-11831,NC_014152.1
@r53.1|NC_014152.1-11796,NC_014152.1
@r54.1|NC_014152.1-8888,NC_014152.1
@r55.1|NC_014152.1-7336,NC_014152.1
@r56.1|NC_014152.1-10193,NC_014152.1
@r57.1|NC_014152.1-11121,NC_014152.1
@r58.1|NC_014152.1-6065,NC_014152.1
@r59.1|NC_014152.1-3323,NC_014152.1
@r60.1|NC_014152.1-8619,NC_014152.1
@r61.1|NC_014152.1-1991,NC_014152.1
@r62.1|NC_014152.1-10032,NC_014152.1
@r63.1|NC_014152.1-11797,NC_014152.1
@r64.1|NC_014152.1-4714,NC_014152.1
@r65.1|NC_014152.1-2638,NC_014152.1
@r66.1|NC_014152.1-2792,NC_014152.1
@r67.1|NC_014152.1-11959,NC_014152.1
@r68.1|NC_014152.1-8475,NC_014152.1
@r69.1|NC_014152.1-666,NC_014152.1
@r70.1|NC_014152.1-393,NC_014152.1
@r71.1|NC_014152.1-8664,NC_014152.1
@r72.1|NC_014152.1-14,NC_014152.1
@r73.1|NC_014152.1-5405,NC_014152.1
@r74.1|NC_014152.1-6752,NC_014152.1
@r75.1|NC_014152.1-3778,NC_014152.1
@r76.1|NC_014152.1-6230,NC_014152.1
@r77.1|NC_014152.1-1552,NC_014152.1
@r78.1|NC_014152.1-7970,NC_014152.1
@r79.1|NC_014152.1-1997,NC_014152.1
@r80.1|NC_014152.1-2021,NC_014152.1
@r81.1|NC_014152.1-5523,NC_014152.1
@r82.1|NC_014152.1-6277,NC_014152.1
@r83.1|NC_014152.1-8402,NC_014152.1
@r84.1|NC_014152.1-3725,NC_014152.1
@r85.1|NC_014152.1-5652,NC_014152.1
@r86.1|NC_014152.1-9754,NC_014152.1
@r87.1|NC_014152.1-11781,NC_014152.1
@r88.1|NC_014152.1-11289,NC_014152.1
@r89.1|NC_014152.1-7544,NC_014152.1
@r90.1|NC_014152.1-2682,NC_014152.1
@r91.1|NC_014152.1-6465,NC_014152.1
@r92.1|NC_014152.1-2592,NC_014152.1
@r93.1|NC_014152.1-11555,NC_014152.1
