@r1.1|NC_014152.1-2520,NC_014152.1
@r2.1|NC_014152.1-6002,NC_014152.1
@r3.1|NC_014152.1-9983,NC_014152.1
@r4.1|NC_014152.1-10689,NC_014152.1
@r5.1|NC_014152.1-9951,NC_014152.1
@r6.1|NC_014152.1-852,NC_014152.1
@r7.1|NC_014152.1-11061,NC_014152.1
@r8.1|NC_014152.1-9041,NC_014152.1
@r9.1|NC_014152.1-4179,NC_014152.1
@r10.1|NC_014152.1-5083,NC_014152.1
@r11.1|NC_014152.1-10793,NC_014152.1
@r12.1|NC_014152.1-5956,NC_014152.1
@r13.1|NC_014152.1-2562,NC_014152.1
@r14.1|NC_014152.1-2908,NC_014152.1
@r1.1|NC_017150.1-411,NC_017150.1
@r2.1|NC_017150.1-4689,NC_017150.1
@r3.1|NC_017150.1-5057,NC_017150.1
@r4.1|NC_017150.1-4786,NC_017150.1
@r5.1|NC_017150.1-1071,NC_017150.1
@r6.1|NC_017150.1-7658,NC_017150.1
@r7.1|NC_017150.1-3959,NC_017150.1
@r8.1|NC_017150.1-295,NC_017150.1
@r9.1|NC_017150.1-6395,NC_017150.1
@r10.1|NC_017150.1-5536,NC_017150.1
@r11.1|NC_017150.1-7183,NC_017150.1
@r12.1|NC_017150.1-7245,NC_017150.1
@r13.1|NC_017150.1-4702,NC_017150.1
@r14.1|NC_017150.1-6920,NC_017150.1
@r15.1|NC_017150.1-3097,NC_017150.1
@r1.1|NC_013124.1-2732,NC_013124.1
@r2.1|NC_013124.1-1061,NC_013124.1
@r3.1|NC_013124.1-7100,NC_013124.1
@r4.1|NC_013124.1-3844,NC_013124.1
@r5.1|NC_013124.1-831,NC_013124.1
@r6.1|NC_013124.1-5337,NC_013124.1
@r7.1|NC_013124.1-4557,NC_013124.1
@r8.1|NC_013124.1-2066,NC_013124.1
@r9.1|NC_013124.1-6077,NC_013124.1
@r10.1|NC_013124.1-1278,NC_013124.1
@r11.1|NC_013124.1-3280,NC_013124.1
@r12.1|NC_013124.1-4695,NC_013124.1
@r13.1|NC_013124.1-752,NC_013124.1
@r14.1|NC_013124.1-6822,NC_013124.1
@r15.1|NC_013124.1-5603,NC_013124.1
@r16.1|NC_013124.1-3725,NC_013124.1
@r17.1|NC_013124.1-4225,NC_013124.1
@r18.1|NC_013124.1-2221,NC_013124.1
@r19.1|NC_013124.1-5008,NC_013124.1
@r20.1|NC_013124.1-1724,NC_013124.1
@r21.1|NC_013124.1-4371,NC_013124.1
@r22.1|NC_013124.1-1328,NC_013124.1
@r23.1|NC_013124.1-3915,NC_013124.1
@r24.1|NC_013124.1-1765,NC_013124.1
@r25.1|NC_013124.1-3712,NC_013124.1
@r26.1|NC_013124.1-1624,NC_013124.1
@r27.1|NC_013124.1-6904,NC_013124.1
@r28.1|NC_013124.1-2741,NC_013124.1
@r29.1|NC_013124.1-3627,NC_013124.1
@r30.1|NC_013124.1-1521,NC_013124.1
@r31.1|NC_013124.1-5477,NC_013124.1
@r32.1|NC_013124.1-247,NC_013124.1
@r33.1|NC_013124.1-6111,NC_013124.1
@r34.1|NC_013124.1-4693,NC_013124.1
@r35.1|NC_013124.1-4530,NC_013124.1
@r36.1|NC_013124.1-3586,NC_013124.1
@r37.1|NC_013124.1-5228,NC_013124.1
@r38.1|NC_013124.1-345,NC_013124.1
@r39.1|NC_013124.1-5983,NC_013124.1
@r40.1|NC_013124.1-146,NC_013124.1
@r41.1|NC_013124.1-6070,NC_013124.1
@r42.1|NC_013124.1-1003,NC_013124.1
@r43.1|NC_013124.1-2458,NC_013124.1
@r44.1|NC_013124.1-6955,NC_013124.1
@r45.1|NC_013124.1-6867,NC_013124.1
@r46.1|NC_013124.1-6265,NC_013124.1
@r47.1|NC_013124.1-1636,NC_013124.1
@r48.1|NC_013124.1-5821,NC_013124.1
@r49.1|NC_013124.1-3612,NC_013124.1
@r50.1|NC_013124.1-5889,NC_013124.1
@r51.1|NC_013124.1-2151,NC_013124.1
@r52.1|NC_013124.1-639,NC_013124.1
@r53.1|NC_013124.1-2650,NC_013124.1
@r54.1|NC_013124.1-4815,NC_013124.1
@r55.1|NC_013124.1-5082,NC_013124.1
@r56.1|NC_013124.1-814,NC_013124.1
@r57.1|NC_013124.1-1899,NC_013124.1
